,Day,Month,Year,Hour,Demand (kWh),Temp (C),Humidity,Season,Holiday
0,26,Apr,2018,20,0.2198327,11.6,84.68,2,0
1,26,Apr,2018,21,3.469570042,11.2,85.83,2,0
2,26,Apr,2018,22,6.712654191,10.8,86.14,2,0
3,26,Apr,2018,23,7.364342011,10.4,85.52,2,0
4,27,Apr,2018,0,12.34932311,10,84.62,2,0
5,27,Apr,2018,1,3.43106082,9.5,86.36,2,0
6,27,Apr,2018,2,5.605006341,9.2,88.43,2,0
7,27,Apr,2018,3,13.56251957,9.1,89.01,2,0
8,27,Apr,2018,4,13.29056262,9.1,88.43,2,0
9,27,Apr,2018,5,6.200066466,10.3,81.16,2,0
10,27,Apr,2018,6,1.883123609,12.6,69.44,2,0
11,27,Apr,2018,7,0.851804281,14.9,59.94,2,0
12,27,Apr,2018,8,0.851804281,17.1,52.36,2,0
13,27,Apr,2018,9,0.851804281,19.1,45.58,2,0
14,27,Apr,2018,10,0.851804281,20.5,41.35,2,0
15,27,Apr,2018,11,0.851804281,21.4,38.71,2,0
16,27,Apr,2018,12,0.851804281,21.9,37,2,0
17,27,Apr,2018,13,0.851804281,21.9,36.71,2,0
18,27,Apr,2018,14,1.549580192,21.5,37.46,2,0
19,27,Apr,2018,15,5.851223113,21.2,37.7,2,0
20,27,Apr,2018,16,29.5640245,19.2,42.29,2,0
21,27,Apr,2018,17,42.81122049,16.7,50.38,2,0
22,27,Apr,2018,18,63.15319213,14,66.73,2,0
23,27,Apr,2018,19,55.70554595,12.7,75.97,2,0
24,27,Apr,2018,20,41.29614133,12.1,80.58,2,0
25,27,Apr,2018,21,34.24514353,11.7,84.31,2,0
26,27,Apr,2018,22,27.79095361,11.3,87.28,2,0
27,27,Apr,2018,23,13.02568266,10.8,89.85,2,0
28,28,Apr,2018,0,17.24473827,10.5,90.71,2,0
29,28,Apr,2018,1,18.18244285,10.2,91.2,2,0
30,28,Apr,2018,2,23.91673363,9.9,91.93,2,0
31,28,Apr,2018,3,26.824778,9.5,93.45,2,0
32,28,Apr,2018,4,22.37576196,9.4,93.26,2,0
33,28,Apr,2018,5,21.65954554,10.8,84.56,2,0
34,28,Apr,2018,6,18.00798873,13.3,70.63,2,0
35,28,Apr,2018,7,17.90169114,15.8,56.63,2,0
36,28,Apr,2018,8,18.10338993,18.1,45.83,2,0
37,28,Apr,2018,9,13.45174789,20,38.66,2,0
38,28,Apr,2018,10,8.610976801,21.4,33.68,2,0
39,28,Apr,2018,11,8.610976801,22.2,31.5,2,0
40,28,Apr,2018,12,8.610976801,22.6,30.69,2,0
41,28,Apr,2018,13,10.35901804,22.5,31.11,2,0
42,28,Apr,2018,14,14.39105928,22,32.39,2,0
43,28,Apr,2018,15,11.62146654,21.6,33.73,2,0
44,28,Apr,2018,16,19.719552,19.3,40.17,2,0
45,28,Apr,2018,17,27.22419072,16.7,50.27,2,0
46,28,Apr,2018,18,25.61755891,14.1,66.37,2,0
47,28,Apr,2018,19,46.69146524,12.7,77.96,2,0
48,28,Apr,2018,20,45.58508558,11.9,85.43,2,0
49,28,Apr,2018,21,31.10541353,11.5,90.57,2,0
50,28,Apr,2018,22,21.52159931,11.4,92.65,2,0
