0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
3730,2166,100,1234,870,919,3993,3806,1988,1961,3554,3035,2379,1696,1520,4152,3773,747,4501,3154,3543,1257,3271,2862,2186,4373,2302,2196,2908,530,4223,3403,71,1753,999,2550,2363,4373,4152,2684,1891,3091,1100,472,2399,515,2420,2646,4129,1619,1198,1781,3242,1635,711,262,4730,636,1661,2608,2395,4333,4086,3422,2986,4886,1236,1008,3859,4507,2077,202,3737,2066,2640,4046,1109,3022,2988,3191,3930,3199,4954,2405,3691,979,1840,1342,4929,2654,1536,653,464,861,236,1245,141,1910,2330,4718
2826,377,150,2990,1956,1460,3367,3721,4847,4939,3252,68,3391,4673,3544,3063,3108,4438,4165,2668,4241,2427,1974,847,919,1465,1617,1324,2783,1584,877,3538,3949,2625,2123,4076,4248,1434,2316,3026,3419,1144,4497,1649,3276,3301,203,4222,4265,2990,4864,1762,3629,2967,1737,4348,3830,1632,2979,2774,323,4086,541,4231,2273,4154,2262,1181,1242,485,2851,4946,606,1607,618,869,1159,588,31,4103,4438,154,3273,266,3555,108,889,395,2782,3580,3633,3691,1215,2400,3159,4992,814,1512,3921,1499
1204,4330,1500,2509,1196,3268,4538,1282,889,2909,243,3506,279,2775,3263,2703,3287,4632,2146,2298,1667,3900,2669,394,1726,656,1008,2244,441,1855,3948,4773,2437,2895,410,3736,3447,155,4959,2308,482,3682,4307,510,1313,1708,3670,411,4384,2122,2112,3130,1545,3078,4023,2484,158,4031,3527,1979,470,2764,2800,3973,1437,1000,2682,3069,2116,120,2924,2478,4895,2529,1641,2893,4119,4373,651,2854,511,2899,634,862,2433,278,429,1440,557,516,1617,219,1315,4255,1085,1184,2887,255,4308,480
3449,4470,2557,2475,4386,3511,4456,4522,2396,2153,1619,2825,3579,191,4802,1202,1878,2802,4313,1158,4521,4777,2323,2931,2763,4288,3966,1320,96,1530,1992,1506,3045,4164,3224,1818,3901,2873,3031,1330,3952,248,3284,2350,4543,3334,2896,840,4692,3583,2638,4826,4923,2337,1808,770,2586,1118,3152,3490,4623,334,4113,210,1852,3725,4479,2551,2541,222,823,1167,3501,3993,940,2500,3,2806,3022,3516,1913,2890,2276,1680,79,176,337,2632,3238,2672,2926,2690,2164,3333,678,3476,680,2571,2384,4548
4041,4032,224,4099,1224,1183,2411,2168,1259,3792,1268,2907,3607,2212,1641,794,528,1023,2972,670,2170,4898,106,3877,2938,3027,197,531,3509,3496,2652,2280,638,416,3667,845,148,3828,574,2308,2120,1763,3399,3556,1073,3905,3629,4529,248,298,3811,617,895,2825,1890,2427,4592,2662,913,3537,2961,2143,4270,3397,1486,128,2196,518,2412,4536,2426,2989,474,1687,1874,2393,1578,2719,2193,4035,2387,4125,2826,3760,114,771,4371,883,3970,1225,3135,4238,2518,509,355,4875,1618,1051,920,3909
4035,4489,3514,2986,2128,4325,1822,1989,560,4238,2669,3241,712,3713,716,472,2827,4663,1151,4880,4916,3891,3753,2529,4956,2354,3526,3350,1713,2941,1203,313,3667,1536,3637,1427,4582,3409,3221,3929,2235,2704,1782,4599,3266,2112,1398,2862,2299,594,2711,4252,2956,4466,3117,4820,2814,4397,3154,2800,1240,919,4873,886,2914,2956,3993,3047,4101,2429,4111,2033,2075,1981,3709,3993,107,3055,3521,1875,1219,268,42,4372,3095,894,2593,2546,2841,647,2711,4171,488,3995,1221,2828,3302,3579,4463,4315
1824,378,2912,4600,4947,4624,4077,1529,4240,3383,120,4706,2212,1473,4499,4011,1566,3115,2405,3820,823,4808,4298,745,3567,2960,3255,2303,4099,4114,2647,3463,163,1485,4251,3797,2604,4871,2841,4931,1747,3640,4007,3844,3677,4535,2372,3840,2463,4278,2819,1640,4090,1181,1255,35,1133,4050,1083,1770,473,3582,2167,481,1092,4103,3425,1986,2043,4418,3506,3494,4905,4840,394,940,137,774,3492,1610,3763,783,2001,2297,2075,1806,2992,3552,2476,1254,538,3552,494,1963,2228,3772,3179,1055,2757,3239
70,4443,1973,485,1555,2636,2774,1533,1937,1042,2332,2361,1077,1376,3925,1021,39,2609,4876,4742,1462,810,4944,4601,4693,1656,2309,3520,3490,460,3216,4073,3655,3129,1442,427,1048,3298,2139,1470,1098,428,3903,1697,1355,3813,1928,2919,2136,4500,4921,4205,4741,4474,3413,4615,4902,240,417,2431,1755,3261,2114,679,2827,1061,2602,794,1553,3761,2896,4532,2925,3558,3946,3296,876,3820,1062,4506,3251,1729,3417,4347,764,2426,78,4965,313,4072,426,1137,932,2284,4481,987,4941,2071,3413,195
1665,2037,4444,881,1356,2790,1891,4748,2402,448,1849,2982,3998,741,1620,98,4251,4777,2206,1968,102,3238,4068,981,1159,3061,1848,4982,4124,3489,2502,1976,1519,2084,3341,3824,3285,425,3628,646,1190,2541,4199,4851,3645,1461,2099,3050,4785,261,1430,2387,4035,4468,2108,299,4262,1116,2653,4830,4564,3536,4389,3998,1887,2883,3613,4519,3862,1558,1175,3681,694,2983,3382,1227,3241,4527,1840,605,2585,636,1138,2352,3425,3761,4826,4623,2551,3055,4757,3188,2447,4924,4722,270,4065,2215,1419,2714
3087,3013,4309,1035,1340,3021,1818,1157,579,807,1607,4097,1807,624,4973,2250,1122,1321,1115,1394,472,1111,3592,2976,4383,327,779,2070,4800,3108,1662,2404,3140,1435,1641,3292,4670,307,3963,3320,4802,1206,1837,3794,4839,2980,4562,4357,1276,4623,4417,1789,2658,444,3657,4992,3383,1174,4173,2292,2645,1163,4502,800,119,2655,1166,1727,888,2471,4060,4375,1599,4685,1143,3711,3989,4140,1700,4349,143,3243,2393,4909,4887,4186,1210,1391,4279,3957,378,4051,4746,46,2149,568,485,2469,1537,3164
635,1441,4201,1719,1842,182,2908,3512,4548,1832,1205,394,1936,4226,4726,1755,3401,2548,662,4581,1573,2607,1160,4236,4352,3472,249,564,1574,4287,2026,2645,2037,489,2130,2503,1911,68,4607,624,535,1350,3515,3581,3360,1954,2709,4851,2507,1899,4320,2208,2497,823,2460,1981,959,1662,973,1903,1439,4952,975,4105,1657,4847,2534,741,1795,3325,4725,1336,4203,4363,331,4253,4321,71,3547,3755,3641,3982,4821,4605,793,106,358,3614,4188,2096,2545,4532,514,2112,1036,1907,843,477,1975,1743
2468,3513,1412,4711,855,2736,4274,3950,2342,222,1535,1997,4936,4324,1030,1435,2886,3768,3706,3528,2534,4577,2195,722,4639,1482,1970,3101,4522,4899,1879,3308,1193,3063,4277,2789,3077,1401,2876,2555,2618,1594,4825,2752,828,2666,4772,4749,1027,1800,498,2609,4598,3124,597,3495,1521,1279,252,3575,1598,93,1206,4258,3755,1454,1801,2398,1022,2934,4171,1133,3945,4922,2263,3910,3261,145,4168,3588,4329,806,2576,4286,3431,2242,4703,4980,2862,3805,4769,1788,2293,4095,2760,4617,1981,1708,3957,1347
3759,1039,2412,1936,2545,1334,4118,2877,1528,4815,451,4351,1569,7,1120,565,2317,371,3865,4631,270,4540,667,4760,1668,4077,3008,3569,2926,1881,2185,4989,3337,3399,172,3902,4990,229,1235,555,3667,4178,1994,3346,1776,2491,1142,3862,965,608,4951,2085,1382,2848,2680,1431,3939,4450,3703,3860,1181,2718,3597,2146,1992,4398,3361,1162,1774,1253,4850,2853,3553,2892,2389,3047,3531,47,276,4378,3499,2799,4710,2249,3978,4926,504,414,456,2218,3921,4723,252,2536,1436,4852,662,4779,3508,4421
4146,4402,4173,3558,1095,309,2280,770,2868,4928,4926,995,1364,1389,1789,1449,133,2096,1725,2475,4717,3541,106,3927,2463,3044,1020,4831,1989,1210,3115,375,732,1570,885,574,4294,59,888,1468,3255,55,3884,2262,2675,32,4229,621,1211,4874,2671,3611,1779,4113,4756,495,2745,787,2820,1116,4799,4518,4527,1741,1804,847,627,4914,4063,4348,1543,3392,1494,1170,897,3693,2022,1830,3337,2067,4376,850,2283,2294,2916,2150,3174,3563,3083,1522,1876,1792,1226,4116,951,3314,4527,1435,4773,3219
